dialog_id,n_turns,I_mean,M_mean,SE_mean,SR_mean,agency_global_mean,agency_overall_mean
arrojado_v1_01,11,1.3636363636363635,0.8181818181818182,1.0,1.2727272727272727,1.1136363636363635,0.8181818181818182
arrojado_v1_02,6,1.5,1.8333333333333333,1.5,1.6666666666666667,1.625,1.3333333333333333
arrojado_v1_03,6,1.5,1.1666666666666667,1.6666666666666667,1.5,1.4583333333333333,1.3333333333333333
arrojado_v1_04,4,1.5,1.0,0.75,1.5,1.1875,1.0
arrojado_v2_01,5,2.0,1.8,2.0,2.0,1.95,2.0
arrojado_v2_02,4,1.25,1.75,1.5,1.75,1.5625,1.5
arrojado_v2_03,5,2.0,1.8,2.0,2.0,1.95,2.0
arrojado_v2_04,5,1.6,2.0,2.0,2.0,1.9,2.0
arrojado_v3_01,8,1.875,1.875,2.0,2.0,1.9375,2.0
arrojado_v3_02,4,2.0,2.0,2.0,2.0,2.0,2.0
conservador_v1_01,8,2.0,1.625,1.5,1.75,1.71875,1.5
conservador_v1_02,4,1.0,1.5,2.0,2.0,1.625,1.5
conservador_v1_03,6,1.3333333333333333,2.0,1.5,2.0,1.7083333333333333,1.6666666666666667
conservador_v1_04,5,2.0,2.0,1.6,2.0,1.9,1.8
conservador_v1_05,4,2.0,2.0,2.0,2.0,2.0,2.0
conservador_v2_01,6,2.0,2.0,2.0,2.0,2.0,2.0
conservador_v2_02,6,2.0,2.0,1.8333333333333333,2.0,1.9583333333333333,2.0
conservador_v2_03,4,1.75,2.0,2.0,1.75,1.875,1.75
conservador_v2_04,7,1.8571428571428572,1.8571428571428572,2.0,1.8571428571428572,1.8928571428571428,1.8571428571428572
conservador_v3_01,8,1.875,2.0,2.0,2.0,1.96875,2.0
conservador_v3_02,18,1.9444444444444444,1.8333333333333333,2.0,2.0,1.9444444444444444,2.0
moderado_v1_01,5,1.8,1.4,1.8,2.0,1.75,1.6
moderado_v1_02,4,2.0,1.75,1.75,2.0,1.875,2.0
moderado_v1_03,17,0.9411764705882353,0.29411764705882354,0.4117647058823529,0.6470588235294118,0.5735294117647058,0.29411764705882354
moderado_v1_04,4,2.0,1.25,0.75,1.5,1.375,1.25
moderado_v2_01,5,1.8,1.6,2.0,1.6,1.75,1.6
moderado_v2_02,6,1.6666666666666667,1.5,1.1666666666666667,1.1666666666666667,1.375,1.1666666666666667
moderado_v2_03,4,2.0,1.75,1.75,2.0,1.875,2.0
moderado_v2_04,4,2.0,1.0,1.25,1.5,1.4375,1.5
moderado_v3_01,6,1.8333333333333333,2.0,2.0,2.0,1.9583333333333333,2.0
moderado_v3_02,5,2.0,2.0,2.0,2.0,2.0,2.0
